视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由
600斤野菜带进城卖，野菜越带越多胆子越来越大，这次能卖完吗？,燕麦行游,643755,1183,1859,29128,6494,881,重庆,1712487363,542,
穿中山装，镇压一切邪恶。你们要的中山装铁子们。,卖蛋糕的可爱杨,600662,539,5636,75917,1377,1651,云南,1712636734,23,7万点赞
太生猛了，在海鲜市场生蚝刺身吃到饱~~~,小文哥吃吃吃,342410,771,1443,25004,3928,540,福建,1712649600,561,
建议改成：智商修复器,开箱嘤嘤怪,238015,743,1133,20405,1097,574,广东,1712669980,295,
替大家试过了，这样转场真的绝,影石Insta360,3339709,822,18646,253574,1799,28192,广东,1712486725,21,百万播放
小时候那些觉得自己这辈子完了的时刻,房东的肥四四,421059,247,4341,53823,1337,722,辽宁,1712655427,48,5万点赞
奥特曼申请出转,-宋瑶,2055108,2083,25327,171614,21574,46499,北京,1712408330,68,百万播放
医院里摔断腿！翻车了？！,猫德动物医院,1551867,411,5937,113774,2844,2234,山东,1712567657,66,
网易确认：4月10号官宣暴雪回归，国服疑难问题解答：游戏数据还在吗？,泰莉亚子,632535,1708,828,9376,1751,9057,上海,1712645963,175,
“我在5:20睡觉13:14准时起！”,深夜摆烂者,119565,222,5184,12472,5156,290,河南,1712545220,156,
逃 离 大 香 蕉,职业逃跑,1175780,1735,17132,47857,1690,7975,广东,1712288700,249,
? 在 5:20 睡 觉 13:14 准 时 起 ！！?,学姐圆,4865049,3061,235295,465970,206315,60908,河南,1712376600,144,百万播放
挑战花光领导的所有工资！,阮阮是个天才7,237827,9210,12753,42820,30479,790,上海,1712736922,1484,很多人点赞
我服了！小米SU7这续航也太……,大鹏快开车,660671,6729,6499,58230,34337,7348,北京,1712710800,716,5万点赞
【完结】《少年歌行 海外仙山篇》第26集 仙人莫衣【10月国创】,哔哩哔哩国创,514725,2322,492,5960,2840,121,上海,1712714401,1323,
夜班为什么不拔智齿,铁蛋王先生,966337,760,4904,95833,1022,940,山东,1712655866,127,
【猫meme】被班主任以为我家没钱没权和同学霸凌我三年后，土豪外婆大闹校长办公室砸碎一地（中）,没作业了叫我,524571,2378,15325,53837,12987,2561,四川,1712664404,404,5万点赞
我在韩国花7000租到了韩剧里韩国财阀的家,知名相声演员BBBBB大王,1000753,6501,8568,85814,28605,2610,韩国,1712664000,612,8万点赞
终于来了！DC《小丑2》首曝预告，Lady Gaga版哈莉·奎茵登场！,乌鸦预告片,629017,1768,6682,34410,2867,29649,四川,1712711523,145,2万分享
七 年 之 痒,盗月社食遇记,952082,7270,12455,85669,70902,1257,上海,1712655161,1670,8万点赞
河南省歌是什么梗【梗指南】,梗指南,567303,1341,3139,44613,807,4687,江西,1712721900,145,
偷的是我家啊！,凶鸭栗,1871789,632,21494,235469,8744,6658,河北,1712659154,83,百万播放
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,483754,8291,3535,29572,1108,1527,山东,1712718000,865,
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,2275850,562,49093,275195,8676,6955,浙江,1712396190,50,百万播放
加拿大小伙住南昌9㎡：月租350元，苦读《红楼梦》,一条视频,560036,2502,19257,95296,15875,10217,安徽,1712625041,255,9万点赞
芬兰家人第一次在海南狂吃脆皮烤乳猪海鲜大餐惊呼太香啦！横扫夜市买买买！离开中国最后一天感动流泪！,雨琪在芬兰,887793,9383,8264,87498,59990,689,芬兰,1712655210,1371,8万点赞
网易暴雪致玩家的一封信：这次，国服永不磨损！重铸血吼，补偿措施，账号数据问题解答,泰莉亚子,580825,2659,1015,9550,1411,3831,上海,1712715554,194,
我服了…班里的师生关系太乱了！,段炼丶Exercise,1157007,629,5215,141104,1123,1058,陕西,1712643020,139,
开春了！小朋友们注意卫生！,脱缰凯Kk,1243666,2112,13722,139266,6540,1068,辽宁,1712653973,207,百万播放
《吗 喽》,张狗蛋eR,718032,497,17957,47408,22530,21417,河南,1712633400,268,2万分享
《重生之我在娱乐圈文里当明星助理》,七颗猩猩QKXX,1278575,1386,5725,146168,3970,2255,湖北,1712655079,158,
?我 在 5:20 睡 觉 13:14 准 时 起?,Rocker飞鹰,476718,615,15787,49702,26156,1984,上海,1712556000,113,
暴雪国服确定回归！网易代理，账号数据全部都在！,夏一可,432362,2364,2184,22095,8403,5837,上海,1712716377,280,
半夜擦玻璃竟目睹杀人案现场？！,中国BOY超级大猩猩,147437,3716,5216,25093,9712,242,上海,1712741400,1068,很多人点赞
自从有了小孩，我的疑问不断。,papi酱,1229896,614,5994,154264,10436,6690,北京,1712656873,104,百万播放
终于帮“道上大哥”们办完事儿了，再次见到他们 我的待遇都不一样了,阳桃SunOfPeach,836223,1214,9169,68548,4480,2022,日本,1712657935,214,6万点赞
“我在5:20睡觉，下课铃响准时醒”,纽毕斯,1213739,600,48675,161532,71786,14051,山东,1712549100,104,百万播放
我和我前妻的男朋友互换配偶，同时也和前妻互换了配偶？【法律连麦】,第七翼刀,501076,4714,7031,43714,1346,21284,北京,1712656800,528,2万分享
腼腆害羞内向社恐文静小女生,我叫D三一,759193,895,7813,81223,1625,10073,海南,1712664563,38,7万点赞
【何同学】不用电，你能把一张A4纸扔多远？,老师好我叫何同学,3086629,8706,31246,246228,91684,7852,浙江,1712490129,626,百万播放
真 · 保时捷平替，小米SU7~！,键盘车神教,857943,4848,5787,46708,21931,11566,北京,1712551055,573,1万分享
选秀，但秀女全是反贼,安提米苏,819366,1325,5643,36521,3729,5382,河南,1712298307,169,
大学生第一次出国，弟弟：下次可以不和3个姐姐出门吗？,超Carry的柴西,189483,1161,3446,10535,3957,842,上海,1712739600,597,
别人只看到我喜欢黑丝，没人看到我压抑的人性,科幻小刚i,773684,1186,6294,64603,2187,6413,安徽,1712585376,108,6万点赞
婚礼哪些仪式可以取消？【我：全部取消】,康哟喂,1200757,3801,25358,110765,82241,12414,中国台湾,1712570400,762,百万播放
"当意大利老爸知道,即将有个中国外孙时,会是什么反应?",路卡和瑞丽,139159,2882,1473,22239,19223,131,浙江,1712739600,539,
好多手艺，学不过来了！都是三十年以上的功力哦～,永琪吗,540820,1413,5318,97167,49810,1255,重庆,1712646367,366,9万点赞
FPS枪都穿模了！量子优化技术！量子力学在游戏开发中的应用,小猴哥TA,1294446,170,4891,57702,1034,255,上海,1712652216,78,
没有技巧，全是感情,敲叶壳,614150,156,5030,66528,852,910,重庆,1712633025,30,6万点赞
【少女焚烧案】以为烧尸灭迹，结果烧一晚上得救存活,郑郑得证,741131,2774,4119,25029,896,447,江苏,1712636000,592,
《北极熊都能看懂的砂金攻略》,贪欲九头蛇_,324691,1400,3769,36197,4269,2298,山东,1712721600,522,
明知山有虎,嘞是唐孃孃,1305108,202,11012,143307,1329,5949,重庆,1712663319,22,百万播放
辞职创业6年，极速拍档经历了什么？,极速拍档,993400,6635,10959,71685,45524,2836,广东,1712631600,1105,7万点赞
"【明日方舟】你ALL\ALL\ALL\,最后lose光光",彳文xow,486152,453,32091,84624,42022,7956,浙江,1712623500,117,8万点赞
在 5:20 睡 觉 13:14 超 度 你！,M_SX,288825,320,7487,33537,4308,3601,云南,1712636944,98,
判了！漫威征服者康演员判决落定！但他的事业已经被判了死刑,努力的Lorre,1116581,4007,2919,39336,844,1677,北京,1712655165,384,
权限狗网瘾戒除计划（3）,csd777,198749,629,3014,22788,15825,320,湖北,1712668347,412,
《那场同居毁了我的纯爱梦》,妍妍酱的一天,737371,11088,6074,23061,3569,5312,陕西,1712564894,2323,
有人知道《吃不饱三战士》和《练不完三战士》什么关系么？,李炮炮儿,1939134,908,6377,183406,2015,1771,辽宁,1712560225,174,
?我 在 5:20 砍 树，13:14打 狗 熊?,消失的四次元口袋,280838,467,8511,21076,7969,866,新疆,1712487840,158,人力VOCALOID·人气飙升
一口气看完海贼王“故事时间线”！完整回顾海贼王5000年故事，传奇强者奋斗史诗，伟大航路波澜壮阔！,动漫作业本,171404,834,4590,13442,9452,918,福建,1712720825,2340,
俺是河南嘞！河南洛阳嘞【5：20AM】阿梓,阿梓从小就很可爱,2586779,2395,53918,117679,67013,43124,上海,1712203200,159,百万播放
学了五年动画 3D还原猫和老鼠,我有个动画师朋友,1055895,2052,12605,85347,6732,11310,福建,1712385902,249,8万点赞
【猫meme】高中遇到流氓后我的炸弹妈妈和核弹哥哥,超级无敌土豆地雷,226089,346,3642,53165,1245,237,江苏,1712519338,203,5万点赞
恐怖的竞业协议：互联网大厂在“吃人”,知危编辑部,702971,8366,18279,46852,34313,14669,浙江,1712571570,1089,1万分享
如何把五千年的东方文化装进一个盒子里？,南翔不爱吃饭,7804589,8025,246467,404490,339353,7068,江苏,1712207735,378,百万播放
沉浸式开海胆！,KIT_艺术收藏家,993030,792,4816,59246,625,3187,江西,1712555902,138,
草 坪 最 害 怕 的 一 集,萝太永不破防,368310,928,4982,39956,1646,969,福建,1712678598,409,
探秘潮汕美食宇宙！中国最新鲜火锅，10盘牛肉吃过瘾！,食贫道,477862,7517,5882,33332,12489,5275,山东,1712658600,1961,
奶奶第一次见美国亲家，忍不住哭了：希望你们把他当亲儿子！,田纳西Jay和Ari,436269,3466,2405,26968,10020,538,河南,1712630740,950,
【warma】诶，你有没有听见花在说话？,Warma,1419441,759,32767,121893,36454,3427,云南,1712566800,201,12万点赞
《谢天谢帝》官方MV 诺米么lodmemo,诺米么lodmemo126,359511,528,2115,15370,3998,2645,湖南,1712634865,208,
一个异火卖3000？不如改名叫斗破钱包：三年死肝！,林虎_LinHu,413945,543,1940,16605,3022,478,湖北,1712654100,410,
RNG的问题出在哪？给夏季赛定个目标？快看起来！,朱开KenZhu88,293496,888,1335,13883,3436,1523,上海,1712667936,590,
一起感受一下，400米障碍跑一镜到底！,中国青年报,264118,232,1637,50139,681,454,,1712650040,96,
猫猫meme版西游记,DY喵呀,662998,163,17615,96433,1307,5849,四川,1712628943,18,9万点赞
第235道菜: 可露丽 法国宝藏甜点 历经验证的完美配方和做法,Elin造梦想的厨房,262356,151,14895,29069,2279,1313,上海,1712635456,415,
最强葫芦七圣人1-999集尊享版,叶良辰MVP,1986378,746,139701,17096,5869,579,山东,1712287479,3705,短片·手书·人气飙升
两场比赛狂进10球！传控和反击的极致对抗！皇马3-3曼城，阿森纳2-2拜仁！,隔壁红魔,319716,2066,1245,18544,5098,962,广东,1712700537,475,
成为老实人后，才理解为什么大爷爱骂营业厅了。,NBzhuoc大,87889,357,1490,12014,3475,252,浙江,1712737063,443,
广州,MOJi辞書,643817,6613,9865,19705,2169,16894,广东,1712600783,914,1万分享
挑战在闺蜜婚礼上跳Queencard！！,兔总裁s,427072,452,8535,30217,1349,493,天津,1712637000,153,明星舞蹈·人气飙升
骗过车机！纯视觉的特斯拉，眼神真的不太好！我自己是不敢用AP了,下尺报告,193458,1412,2655,10575,6780,1141,浙江,1712586120,862,
霸总的她回来了！,派小轩,1310684,1193,5550,144287,6232,1800,北京,1712569650,135,大家都在搜
《重生之我在霸总短剧里当保姆9》王妈外出打工记,七颗猩猩QKXX,2738307,6995,22209,250021,9796,9029,湖北,1712481985,272,百万播放
网文“癫狂”时代开启，中原五白落幕，中原五绝能否再创网文巅峰？,网络小说排行榜,320276,1392,4334,13403,1403,382,江苏,1712656610,642,
下次顺便假笑两声,魔法幼儿园u,1104911,261,8881,102050,621,1197,湖南,1712552435,23,百万播放
【5：20AM】俺是河南嘞！！,铃乃Chan,418626,308,7088,29245,6878,3140,广东,1712633400,157,
小狗可能也想赌一把，今天抱着的这两个人会带它走吗？,油条不拆家,719419,429,6110,119061,86689,1856,河南,1712575956,135,11万点赞
老公用自己钱换键盘把老婆气哭了？看看心理学博士怎么分析,李博士和他的朋友们,483440,5686,3774,13595,2290,5041,浙江,1712573085,770,
赶紧跟咱妈妈说，立刻马上不要拖。,李汎的健身日志,1042708,242,41676,99273,3909,8148,福建,1712585309,79,百万播放
那你应该很幸福吧,在在在这里啊,256135,495,2475,57018,21991,143,浙江,1712543959,143,5万点赞
西双版纳拇指玉米 —— 一年四季都有的软糯香甜【滇西小哥】,滇西小哥,66773,780,906,8363,4108,136,云南,1712743200,1038,
这才是吃猪蹄的天花板，先卤后涮，泼上满满的麻酱，美,胖龙的小生活,524583,2519,1223,23519,4482,642,河南,1712655000,588,
【大学老师推荐】懒人必用的AI工具｜再也不用亲自做PPT和备课了！科技摸鱼～,糖果果的未来要发光,179153,176,22799,12561,5500,4463,湖北,1712657009,294,很多人分享
童年爆款苦情神剧《我的丑娘》！很好哭，但也很好笑...,虫哥说电影,359579,7277,2577,18803,3653,1591,江苏,1712654400,1478,
魔兽世界国服夏季上线？炉石守望星际风暴何时回归？一个视频解答你的疑问！,夏一可,205283,2202,948,10922,2799,2833,上海,1712723954,453,
“最后一波这一刀居合 又是多少橘右京玩家的梦”,北古橘右京,818472,314,2103,34313,545,460,广东,1712466826,137,
见到主人的那一瞬间就像个找到家的小孩子…第一次见识到网络的力量，4个小时找到主人,油条不拆家,555598,379,5276,119476,38550,1506,河南,1712621874,110,11万点赞
从开放世界到UGC玩法，宛如手游版GTA ——《极品飞车：集结》新PV解读,籽岷,304173,63,1145,21146,581,74,上海,1712659500,231,手机游戏·人气飙升
和好朋友去东京旅行，给她们一点二次元的震撼！,炒蛋车间长,132119,383,1257,8179,2948,300,上海,1712664000,631,
《破戒！爽！》,伤心欲茄222,954974,925,6107,133043,1729,2583,辽宁,1712656124,72,13万点赞
【上古神战】来自2012年的武林高手对决，恐怖如斯！,-超级小能猫-,143815,350,3114,19347,899,703,海南,1712665972,169,
??爷 在 5:20 睡 觉 13:14 准 时 起！??,星铁切莫Cc,150589,242,4794,11780,2282,447,浙江,1712655651,144,
手撕保险柜、拳打霸道黑帮！一拳刑警超燃回归，再次破票房纪录！《犯罪都市3》,阿斗归来了,953904,4525,6241,52362,17526,862,湖北,1712570390,1413,5万点赞
爽唱了《Bling-Bang-Bang-Born》顺便还健了个身！,鹿火CAVY,492871,368,8648,40006,7797,906,上海,1712653200,91,
体验孟加拉夜生活，街头小吃1元一份，味道千奇百怪，挑战肠胃极限,小钟Johnny,395213,3154,1506,25292,7238,670,多哥,1712631600,707,
快接一波健康，发财，上岸！,_张天琪,726403,4069,6062,128327,24756,310,四川,1712579208,188,12万点赞
赛博朋克中的巨大谜团：FF 06 B5，突破第四面墙！,太阳游戏百科全说,108173,259,3024,9699,1351,858,湖北,1712676690,891,
背着狗子去生娃，三天后回到家，已经把主人给忘了！,哈仔十一,440501,2585,2685,49479,50302,299,湖南,1712642966,227,汪星人·人气飙升
如何让摄影机消失在电影的镜子里,尽整没用的,320727,804,10186,13273,1252,898,湖北,1712633700,785,
刻在骨子里的爱国从不会因为年代而消失，拳拳赤子心，悠悠桑梓情,李维刚的日常,1809456,1966,21162,326027,73143,1916,广东,1712394007,262,百万播放
如何给大佬设局，中间的操作直接封神 处处算计，暗藏对人性的精准把握,懂一点人情世故,498661,202,4974,60833,719,251,广东,1712560887,246,6万点赞
第一次喊有点害羞了,小姜不辣哈,1408621,1508,6690,137498,3245,3083,山东,1712576893,46,
偷子（3）,小潮院长,6004275,28317,131472,374237,180438,7907,上海,1712222419,1047,百万播放
日本多地发生抢劫案，被捕后竟然都说是“路飞”指使的，路飞抢劫事件 | X调查,X调查,316412,2291,2871,15313,2626,1160,上海,1712657389,1674,
这是一期Q&A,临时工小陈,622038,1702,2287,36255,3412,160,浙江,1712634613,290,
探秘水果界“流量密码”！网红蓬莱蕉居然有毒！,穿毛裤的小拉泽,139661,1441,1052,14452,2070,105,山东,1712739000,834,美食测评·人气飙升
真是服了这个脑洞！,木匠小强,2322642,413,7767,39852,705,1063,北京,1712570128,33,
抛弃Lisa，设计师要去香奈儿？富家千金上演回家的诱惑？深度解析【Celine思琳2024秋冬成衣秀】,AHALOLO,133829,914,1062,8533,2390,129,意大利,1712725200,821,
红警密密麻麻的飞行兵！简直不要太恐怖了！,红警HBK08,211718,1312,561,14639,1440,88,江西,1712707200,719,
从《三生三世》到《花间令》：配平诅咒如何腐蚀女主灵魂？劲草变桃花，画皮不画骨。,惜我余生,1208046,4423,18743,92079,34256,3653,江苏,1712230284,1327,百万播放
菠神显胖是有原因的，她真的太有实力了！,菠萝赛东的亚洲猛男,1191246,378,2439,9856,553,306,江苏,1712556626,505,
更“全能”的稳定器，好用吗？大疆RS4系列&Focus Pro上手,影视飓风,333067,1708,3898,28253,8037,1902,浙江,1712667600,863,数码·人气飙升
《蔚蓝档案The Animation》第1话：阿拜多斯高等学院停办对策委员会,蔚蓝档案,1251362,27429,63927,124201,93467,35571,上海,1712503800,1421,百万播放
高情商可以，但不能没骨气,这个月-,535552,372,17911,50695,1808,819,上海,1712579243,250,5万点赞
市值暴跌50亿！资本撤场，口碑崩塌，百果园为什么卖不动了？,财经不眠姐,341598,1409,1371,13535,644,906,广东,1712659056,589,
此三杯非彼三杯，大会堂版的三杯鸡，为什么没有一滴酱油却酱香满满丨国宴三杯鸡,老饭骨,288840,1424,6933,15744,3571,1196,北京,1712656800,534,
[威神V/WayV] 捞面之王隆重登场????| 威神V in 海底捞 Ep.2,WayV_official,183198,9354,7694,20226,19170,2912,北京,1712664000,1434,
脑力工作者的3种累&3种较佳的休息方式,YouCore官方,128915,225,6718,3643,1572,1630,河南,1712655333,478,
我好像整了个水滴，大家注意闪避！,皮卡悠,1031375,2281,11631,78698,10529,1552,广东,1712491500,452,7万点赞
（猫猫meme）成为智障老师以后被孤独症学生狂遛到开始怀疑人生,智障老师2ga,454528,709,12606,122133,20792,1528,江苏,1712551248,269,12万点赞
终于知道为什么有人戴假发那么逼真了，这么多道具这么多工序，都精致到每一根头发丝了,YouTube精彩视频-,4066116,772,11353,187399,704,1536,湖南,1712299907,78,
如果人类在宇宙中发现了比咱们更加落后的文明会怎样？,行者道荣,693848,2932,6185,44389,900,194,浙江,1712585780,241,科学科普·人气飙升
【奥特闲谈】副奥们：圆谷你欠我这的营养你拿什么还？！,在下三少啦,47064,602,1150,6970,1324,71,吉林,1712745000,816,
敌人重生回来想对我不利，可无奈我运气太好了,圆桌动漫,787195,1520,24911,18608,2988,173,上海,1712653200,3450,
《老爹被以貌取人的老师当成了班级倒数第一的爹并被大骂了一顿》,霁明明明明,208608,202,2118,21645,1404,185,河南,1712591882,183,搞笑·人气飙升
"日本火锅自助能回本吗?80分钟狂吃一百多盘肉,边吃边吹太招笑了！",平平出击,361713,1370,1921,25890,12576,579,日本,1712634300,583,
天津9.9元包子自助，超大个包子，一个半斤重。你能吃几个？,橙飞一下,904196,2931,1680,40252,3826,2354,天津,1712577202,511,大家都在搜
氪不容缓：集齐4大泰坦怪兽，4种死法你选一个？,著名神经哥,225150,283,3618,20417,5198,262,湖南,1712651078,319,网络游戏·人气飙升
擦边，被封，撒谎，直播轻生，三观正？狗头萝莉嚣张的卖惨路？,吃瓜郭昱麟,1448840,8791,11695,46610,8461,2925,山东,1712487600,1757,百万播放
记录一下我们改造300年乾隆年间荒废小院的过程！,逃源a,263431,729,2959,27836,5084,495,福建,1712543952,266,三农·人气飙升
《你好暴雪，好久不见》,赤小兔TuTu,147277,623,597,5316,1382,442,江苏,1712712936,271,
以画换物-大力士汉堡,画画的帽子,1470408,830,12638,179826,2247,499,北京,1712373934,148,百万播放
如何看待网络热门视频“吃到去世十年爷爷种的韭菜”？【主播说三农】,央视农业,325696,386,1055,41283,1010,372,,1712669720,142,
欢迎回家！网易和暴雪官宣复婚：暴雪游戏国服今年夏季陆续开服！,泰莉亚子,248398,931,635,6338,2635,2820,上海,1712712513,120,
律师只是我的谎言,法师马马,599052,132,2213,59612,679,682,浙江,1712661785,33,
瑟莉姆还能更瑟吗？当然能！！！,我是老鱼哒,592076,537,14634,78551,1181,4051,辽宁,1712646000,41,7万点赞
压上全部筹码！成本最大的一集！随机爆氪挑战#3,一叮当猫一,690758,159,2015,18871,9835,194,湖北,1712586487,476,
【开箱】提完小米SU7实在没绷住，剪了一期路人反应...,陈抱一,1269012,4649,6767,55138,14745,18308,湖北,1712546538,625,百万播放
越优秀的人越努力,余帅的名校行,3479310,0,18734,120857,5125,7120,浙江,1712334806,110,百万播放
练车噜,吃了个迟x,434864,348,17346,78153,1733,2450,云南,1712662411,33,7万点赞
【摸王TV】MyGO篇 前辈请借力量一用！,zcy902,97598,671,3476,14131,6813,2499,广东,1712719800,165,
我跟花儿一样，真的都会谢,在下铁头阿彪,131002,260,1824,20276,2667,249,四川,1712715000,180,
广州最好吃的大排档！顶级锅气，每一道菜都精彩！,渣叔爱酒,532403,1276,10620,40846,13424,7690,广东,1712577453,397,美食侦探·人气飙升
耗时40天用牛骨和竹子，做套“竹骨麻将”是什么体验？,苗大冬,225963,845,1145,13269,9419,294,河南,1712653200,283,
迪 士 尼 大 对 决 ！,卑鄙的南瓜骨头,346468,328,1596,13482,850,1617,吉林,1712569500,135,
为了长安启源，提前离开中国，外国家人依依不舍，期待下次再来！,娜塔莎一家,199622,3597,588,12112,3531,72,河南,1712712206,1174,
《蔚蓝档案The Animation》片头曲 - 青春档案,蔚蓝档案,115816,222,7162,19306,6114,1372,上海,1712718000,91,动画综合·人气飙升
玉帝，玉帝，我要diss你?,MG-AUG-1211,290907,152,2188,14573,3164,2762,河南,1712458800,114,
《实力》,搞笑曲同学,3400707,241,10316,143142,2050,5085,湖南,1712461424,32,
笑笑因中风上辽宁卫视：被当成熬夜反面典型了！,德云小月亮,450821,1217,1061,6224,690,10707,河北,1712650856,159,
上节目摆烂带娃，女儿哭了我也跟着哭【P4】,圆桌动漫,71379,450,1341,7097,1908,55,上海,1712742444,494,
《 天 价 水 果 》国际版,记录生活的蛋黄派,1863016,3619,17170,203441,92090,2477,广东,1712393932,343,百万播放
不装了！彻底摆烂！2024年1月新番完结吐槽！【泛式】,泛式,2292872,11600,56954,276300,137050,10504,上海,1712399848,685,百万播放
爆肝40天120000字，挑战全网最细唐人街探案宇宙全系列！希望有500收藏就行,不善言辞的秃秃,146337,863,7910,10435,8127,419,广东,1712634900,33565,很多人点赞
把星铁做成国漫番剧！爆肝一月！星穹修仙传！第三集！,猹泡饭233,492269,1855,15848,60847,23389,2817,浙江,1712570400,465,6万点赞
【炸弹人】这些诡异画面你都见过吗——这游戏竟有这么多秘密,游戏漫聊,149800,1823,1608,7066,2388,329,吉林,1712664321,897,
有多少boss能战胜“最佳演出Boss”称号的教条？,我是谁压实度,105114,270,1645,10127,6338,136,江苏,1712717313,574,
“我在5:20睡觉，13:14准时起来吹唢呐”,浑元Rysn,121511,132,1286,14748,1317,539,上海,1712726040,145,很多人点赞
【未公开花絮】青柳尊哉×村山优香 螺蛳粉初挑战！,青柳尊哉,132806,312,1475,10088,1867,328,日本,1712718000,521,
想学五角星今天就来教小朋友们编嘛，学会了还是发来看看哦,爷爷的那些手艺,118287,381,11864,64703,18956,282,重庆,1712550496,824,6万点赞
《重生之我在霸总短剧里当保姆8》,七颗猩猩QKXX,3385605,4635,32378,321703,18568,12794,湖北,1712394898,201,百万播放
馋懵了！吃！,张百乔,670801,322,2313,77950,677,938,辽宁,1712574000,225,
结婚4年，我们又做回了同学…,狂阿弥_,1808114,2682,25449,83443,61649,12165,广东,1712309529,982,
鱼香茄子土豆牛肉黑椒肠坛子肉拌饭,巨爱吃的周黑鸭,613608,647,3086,54652,1226,1624,北京,1712571244,265,
当年觉得是“太土、太俗”的歌曲，现在网友表示：爷青回！太香了！！,怀旧歌单汇老歌尤盘,237865,2890,12475,18674,3940,1662,山东,1712494500,834,
［猫meme］我爸妈五年捡了30只流浪猫回家,菜包包丷,624078,598,13077,97639,118236,1408,江苏,1712319036,164,
脱贫第一步，对有钱人祛魅,平原小狐,424222,168,8722,20823,2142,750,浙江,1712571519,568,
超顶！周深《月光》清唱版,酷狗音乐,299129,1167,8054,22404,7504,2522,北京,1712568653,239,
我  们  是  冠  军,萝太永不破防,1242914,2410,18330,87669,7234,4488,福建,1712505366,835,
【叶铭】所有，或者一无所有！｜砂金COS,叶铭yzy,237287,53,6469,52336,959,1752,四川,1712661054,27,5万点赞
没想到这个视频我能出第二期,挪威老王,231456,588,1386,31703,1576,212,挪威,1712665688,191,
“这便是他在科幻圈封神的原因！”,wrizedm,321660,177,3189,18954,1164,144,北京,1712498299,158,
今天模仿的三位女二都是超级女神级别了！斗胆模仿一下神韵，大家轻点喷哈哈哈哈,李如儒也是李蠕蠕,1141351,1252,4035,125064,5178,253,广东,1712572800,91,
《惜花芷》：豪门破产后，我带全家走上致富之路,话很多的小姐姐们,256310,1488,1115,11641,1240,419,重庆,1712636403,733,
《想带你去迪士尼》,KnowKnow,126577,233,748,5195,1351,4636,四川,1712678437,153,
俄罗斯人名字里“诺夫”和“斯基”究竟是什么意思？,俄罗斯导游阿杜,323233,740,4413,42469,776,318,俄罗斯,1712628300,101,人文历史·人气飙升
一生都在蹲局子边缘的我妹【猫meme】,谁出我八岐大蛇的谷,1300118,2634,26516,178705,13137,5828,天津,1712408318,116,
《毛里求斯》第3集：邓超主演·分手大师取景地赶海，去时兴奋，回时狼狈，囧囧囧,OK哥环球探海记,107046,1081,758,11267,4595,119,毛里求斯,1712721600,1197,
《石神》,国家二级飞行员,625228,242,7692,56864,598,1215,湖北,1712603704,109,5万点赞
你和爸妈的区别18.0,爱学习的赖某,1226081,648,25969,188983,4249,10150,浙江,1712568600,32,百万播放
我把《赤色要塞》重制成了高清次世代版,绝处逢生的赵大哥,751219,2747,8715,52581,38590,1496,江苏,1712489302,689,
用无线耳机的b人袅袅能不能闭上麦啊？？,狂热电子鼠,122612,125,1398,13520,1405,601,安徽,1712669562,354,
你变身成迪迦 在各个奥特曼副本里拯救世界P45,磷火动漫,50117,566,1645,5144,2111,46,上海,1712740682,537,
这消息可真消息啊,池野林Club,1375448,127,6160,120062,1280,5053,四川,1712584187,51,
黑熊精入职记,-显眼宝-,1896270,1270,11098,194311,13371,9058,浙江,1712459312,116,
对轰世界波！皇马3:3曼城，福登、格瓦迪奥尔、巴尔韦德精彩世界波破门，B席任意球破门,友利Mori,191663,964,718,7017,1032,882,北京,1712702268,468,
经典《阎王点卯2.0》返场,悠悠球琛总,1961182,593,22804,301348,11860,14300,天津,1712402336,64,百万播放
要打，去练舞室打！,火龙-艾斯库尔,634424,1154,5430,54062,1867,6129,广东,1712504253,72,5万点赞
00后操机员被迫接手官方账号运营，我真的麻了,潮州喜塘广告有限公司,732573,114,4182,168275,5873,232,广东,1712585107,39,16万点赞
贝拉小朋友表现很勇敢，今天终于出院了,边牧陈贝拉,224612,339,722,30136,4974,536,浙江,1712666006,222,
“老东西，我们走了以后也要保持童心噢”,自动鬼畜中的WZ,414494,1209,24485,66144,39250,3781,江苏,1712376000,205,
流浪汉住上电竞豪华公寓，过上了真正的牛总生活。,浪仔小牛,838264,7331,3037,36262,27356,1868,浙江,1712501828,1120,
小强中午给媳妇做个炒面 配着牛肉火腿 看着就好吃,小强努力吃胖,254276,439,540,12156,3541,143,河南,1712484689,174,
西游都不敢这么拍！悟空大战蜘蛛精！现代战争！,神奇的老皮,775502,1874,3344,38839,3758,910,江苏,1712581200,298,
最新最全！吊打付费！这13款才是真正的电脑必装软件！,云婉儿丶,388091,986,45329,15954,8515,1301,福建,1712302576,381,
【吃瓜报告】近期内娱离谱瓜盘点点评（4月第1期）,动物园会议,648396,5205,1893,35716,1777,848,北京,1712577362,511,
这个办法确实行得通,甜蜜老张,297082,568,1414,34008,1900,932,广东,1712649088,207,
【崩坏星穹铁道】星铁钟离？首位限定盾辅！砂金值不值得抽？光锥 配队 遗器 材料 技能 命运从未公平,梦轩dada,109399,622,988,7282,2063,671,浙江,1712721900,1126,
【奥运冠军的脊医博士后】腰突出了不要怕 硬核3招有效,脊医博士鹏哥,415193,198,16473,22862,4201,4621,上海,1712572938,602,
